timestamp,demand_MW,cf_onshore_wind,cf_offshore_wind,cf_solar
2019-01-04 14:00:00,4595.98,0.663786,0.489483,0.0
2019-01-04 15:00:00,4854.46,0.593088,0.458648,0.0
2019-01-04 16:00:00,5157.23,0.650266,0.472851,0.0
2019-01-04 17:00:00,4976.29,0.662877,0.568548,0.0
2019-01-04 18:00:00,4576.85,0.654205,0.584832,0.0
2019-01-04 19:00:00,4248.92,0.649377,0.580611,0.0
2019-01-04 20:00:00,3935.45,0.661433,0.586743,0.0
2019-01-04 21:00:00,3708.47,0.647848,0.599406,0.0
2019-01-04 22:00:00,3471.47,0.624985,0.58221,0.0
2019-01-04 23:00:00,3277.32,0.589732,0.581199,0.0
2019-01-05 00:00:00,3089.89,0.564713,0.571105,0.0
2019-01-05 01:00:00,3014.17,0.543644,0.530106,0.0
2019-01-05 02:00:00,3075.71,0.516077,0.511834,0.0
2019-01-05 03:00:00,3014.88,0.499796,0.471193,0.0
2019-01-05 04:00:00,3049.9,0.457842,0.462957,0.0
2019-01-05 05:00:00,3202.77,0.395209,0.440641,0.0
2019-01-05 06:00:00,3488.96,0.329041,0.486049,0.0
2019-01-05 07:00:00,3778.55,0.266027,0.42923,0.0
2019-01-05 08:00:00,3938.29,0.197283,0.315926,0.008
2019-01-05 09:00:00,4032.93,0.138244,0.325755,0.078
2019-01-05 10:00:00,4013.01,0.085747,0.314309,0.189
2019-01-05 11:00:00,3934.2,0.068201,0.239718,0.231
2019-01-05 12:00:00,3890.57,0.057169,0.196573,0.191
2019-01-05 13:00:00,3899.25,0.041289,0.181799,0.092
2019-01-05 14:00:00,3961.97,0.029446,0.17679,0.007
2019-01-05 15:00:00,4289.9,0.02325,0.139406,0.0
2019-01-05 16:00:00,4728.58,0.018794,0.124491,0.0
2019-01-05 17:00:00,4638.14,0.017208,0.085802,0.0
2019-01-05 18:00:00,4298.7,0.012623,0.091499,0.0
2019-01-05 19:00:00,4029.21,0.009082,0.091311,0.0
2019-01-05 20:00:00,3818.16,0.006031,0.093845,0.0
2019-01-05 21:00:00,3572.44,0.004228,0.088489,0.0
2019-01-05 22:00:00,3398.44,0.005747,0.070024,0.0
2019-01-05 23:00:00,3232.65,0.010556,0.045897,0.0
2019-01-06 00:00:00,3109.91,0.013923,0.05231,0.0
2019-01-06 01:00:00,3045.47,0.010092,0.055626,0.0
2019-01-06 02:00:00,3025.45,0.013811,0.04137,0.0
2019-01-06 03:00:00,3049.62,0.026164,0.060658,0.0
2019-01-06 04:00:00,3099.46,0.034074,0.081211,0.0
2019-01-06 05:00:00,3197.48,0.032138,0.073668,0.0
2019-01-06 06:00:00,3439.31,0.034621,0.060647,0.0
2019-01-06 07:00:00,3719.69,0.046237,0.106208,0.0
2019-01-06 08:00:00,3966.3,0.064601,0.144345,0.0
2019-01-06 09:00:00,4118.38,0.083571,0.159106,0.001
2019-01-06 10:00:00,4151.48,0.115269,0.127049,0.015
2019-01-06 11:00:00,4077.5,0.141946,0.144015,0.023
2019-01-06 12:00:00,4060.3,0.155303,0.123327,0.025
2019-01-06 13:00:00,4066.6,0.154754,0.11291,0.008
2019-01-06 14:00:00,4123.08,0.174898,0.126044,0.0
2019-01-06 15:00:00,4418.86,0.194859,0.12214,0.0
2019-01-06 16:00:00,4835.56,0.214202,0.136614,0.0
2019-01-06 17:00:00,4726.34,0.217086,0.147372,0.0
2019-01-06 18:00:00,4365.53,0.212776,0.148248,0.0
2019-01-06 19:00:00,4019.53,0.2058,0.13689,0.0
2019-01-06 20:00:00,3824.73,0.186061,0.132575,0.0
2019-01-06 21:00:00,3553.7,0.153925,0.118648,0.0
2019-01-06 22:00:00,3271.34,0.127361,0.128754,0.0
