timestamp,demand_MW,cf_onshore_wind,cf_offshore_wind,cf_solar
2018-01-01 00:00:00,3308.04,0.37287,0.725498,0.0
2018-01-01 01:00:00,3117.97,0.352086,0.644826,0.0
2018-01-01 02:00:00,3018.05,0.359195,0.675807,0.0
2018-01-01 03:00:00,2916.35,0.337991,0.740981,0.0
2018-01-01 04:00:00,2802.4,0.342012,0.725688,0.0
2018-01-01 05:00:00,2844.48,0.360822,0.759399,0.0
2018-01-01 06:00:00,2950.69,0.353478,0.764233,0.0
2018-01-01 07:00:00,3011.1,0.369522,0.806804,0.0
2018-01-01 08:00:00,3238.9,0.393478,0.860459,0.0
2018-01-01 09:00:00,3444.84,0.481459,0.901701,0.0
2018-01-01 10:00:00,3581.97,0.48708,0.887381,0.009
2018-01-01 11:00:00,3648.32,0.506212,0.899438,0.031
2018-01-01 12:00:00,3604.19,0.568911,0.899976,0.056
2018-01-01 13:00:00,3743.33,0.546854,0.8939,0.041
2018-01-01 14:00:00,3733.37,0.507299,0.889027,0.0
2018-01-01 15:00:00,3985.96,0.443602,0.867278,0.0
2018-01-01 16:00:00,4269.73,0.381762,0.869873,0.0
2018-01-01 17:00:00,4182.8,0.35702,0.840206,0.0
2018-01-01 18:00:00,3950.84,0.354119,0.821614,0.0
2018-01-01 19:00:00,3721.29,0.357868,0.764185,0.0
2018-01-01 20:00:00,3476.6,0.352665,0.793592,0.0
2018-01-01 21:00:00,3265.1,0.328921,0.715419,0.0
2018-01-01 22:00:00,3067.12,0.310817,0.656899,0.0
2018-01-01 23:00:00,2889.15,0.294088,0.625024,0.0
2018-01-02 00:00:00,2825.17,0.270459,0.608924,0.0
2018-01-02 01:00:00,2780.24,0.256025,0.544059,0.0
2018-01-02 02:00:00,2793.03,0.231581,0.46621,0.0
2018-01-02 03:00:00,2907.74,0.216498,0.457199,0.0
2018-01-02 04:00:00,3101.2,0.210156,0.386021,0.0
2018-01-02 05:00:00,3647.58,0.217164,0.363172,0.0
2018-01-02 06:00:00,4226.31,0.217354,0.427104,0.0
2018-01-02 07:00:00,4596.3,0.212026,0.405609,0.0
2018-01-02 08:00:00,4693.75,0.199108,0.398062,0.01
2018-01-02 09:00:00,4772.9,0.188262,0.372959,0.052
2018-01-02 10:00:00,4735.18,0.159947,0.377413,0.122
2018-01-02 11:00:00,4638.09,0.135201,0.404256,0.218
2018-01-02 12:00:00,4631.92,0.151329,0.421297,0.169
2018-01-02 13:00:00,4617.36,0.174131,0.340672,0.072
2018-01-02 14:00:00,4596.95,0.155814,0.385688,0.004
2018-01-02 15:00:00,4917.06,0.168116,0.351788,0.0
2018-01-02 16:00:00,5276.01,0.196667,0.345063,0.0
2018-01-02 17:00:00,5017.92,0.192571,0.442073,0.0
2018-01-02 18:00:00,4640.1,0.200651,0.537888,0.0
2018-01-02 19:00:00,4299.96,0.221901,0.537437,0.0
2018-01-02 20:00:00,4044.79,0.244838,0.559161,0.0
2018-01-02 21:00:00,3733.31,0.271507,0.703782,0.0
2018-01-02 22:00:00,3448.78,0.323821,0.757943,0.0
2018-01-02 23:00:00,3269.17,0.369046,0.762263,0.0
2018-01-03 00:00:00,3146.97,0.441113,0.864723,0.0
2018-01-03 01:00:00,3008.57,0.513951,0.902698,0.0
2018-01-03 02:00:00,2960.07,0.570589,0.628663,0.0
2018-01-03 03:00:00,3077.52,0.637789,0.621171,0.0
2018-01-03 04:00:00,3448.3,0.701528,0.621527,0.0
2018-01-03 05:00:00,3966.9,0.699837,0.922927,0.0
2018-01-03 06:00:00,4640.49,0.682588,0.864391,0.0
