timestamp,demand_MW,cf_onshore_wind,cf_offshore_wind,cf_solar
2016-01-04 14:00:00,4862.42,0.6113,0.857073,0.047
2016-01-04 15:00:00,5134.54,0.574708,0.85682,0.0
2016-01-04 16:00:00,5538.08,0.565386,0.852706,0.0
2016-01-04 17:00:00,5315.4,0.566725,0.850617,0.0
2016-01-04 18:00:00,5022.11,0.575325,0.788133,0.0
2016-01-04 19:00:00,4641.95,0.567333,0.852223,0.0
2016-01-04 20:00:00,4274.41,0.545253,0.8486,0.0
2016-01-04 21:00:00,3926.96,0.517726,0.843386,0.0
2016-01-04 22:00:00,3573.81,0.503931,0.819019,0.0
2016-01-04 23:00:00,3328.16,0.489978,0.811883,0.0
2016-01-05 00:00:00,3212.12,0.49161,0.812334,0.0
2016-01-05 01:00:00,3245.96,0.500252,0.825712,0.0
2016-01-05 02:00:00,3255.36,0.496866,0.822761,0.0
2016-01-05 03:00:00,3364.48,0.501557,0.828671,0.0
2016-01-05 04:00:00,3594.42,0.508418,0.767144,0.0
2016-01-05 05:00:00,4270.03,0.516509,0.76807,0.0
2016-01-05 06:00:00,5023.57,0.502705,0.836369,0.0
2016-01-05 07:00:00,5253.31,0.472858,0.832484,0.0
2016-01-05 08:00:00,5192.9,0.454808,0.819953,0.065
2016-01-05 09:00:00,5231.26,0.474575,0.821606,0.197
2016-01-05 10:00:00,5213.2,0.519801,0.765261,0.266
2016-01-05 11:00:00,5113.45,0.549347,0.707318,0.261
2016-01-05 12:00:00,4968.77,0.538562,0.791748,0.185
2016-01-05 13:00:00,4982.3,0.475635,0.791804,0.073
2016-01-05 14:00:00,4905.87,0.407339,0.802785,0.004
2016-01-05 15:00:00,5131.65,0.366916,0.759786,0.0
2016-01-05 16:00:00,5536.24,0.347032,0.805396,0.0
2016-01-05 17:00:00,5369.7,0.358993,0.818402,0.0
2016-01-05 18:00:00,5057.9,0.342362,0.832967,0.0
2016-01-05 19:00:00,4735.0,0.331848,0.830633,0.0
2016-01-05 20:00:00,4438.07,0.322523,0.782785,0.0
2016-01-05 21:00:00,4081.12,0.303154,0.684897,0.0
2016-01-05 22:00:00,3732.08,0.294882,0.595253,0.0
